crop_name	adm_id	awc	bulk_density	drainage_class
wheat	IN-06-2058	14.56	1.559	4
wheat	IN-06-0031	14.453	1.558	4
wheat	IN-06-2006	14.368	1.511	4
wheat	IN-06-1071	10.89	1.578	4
wheat	IN-06-1081	14.477	1.562	4
wheat	IN-06-0008	14.544	1.553	4
wheat	IN-06-1060	14.426	1.537	4
wheat	IN-06-0040	14.344	1.522	5
wheat	IN-06-0027	13.476	1.508	5
wheat	IN-06-0502	14.485	1.533	4
wheat	IN-06-1082	14.74	1.551	4
wheat	IN-06-0016	13.516	1.58	5
wheat	IN-06-0009	14.465	1.528	4
wheat	IN-06-0014	14.312	1.569	4
wheat	IN-06-0025	12.985	1.591	5
wheat	IN-06-0032	14.522	1.552	4
wheat	IN-06-0033	14.505	1.548	4
wheat	IN-06-1057	13.956	1.583	4
wheat	IN-06-0036	14.567	1.559	4
wheat	IN-06-0024	14.379	1.529	4
wheat	IN-06-0022	13.561	1.493	5
wheat	IN-06-1058	14.833	1.592	4
wheat	IN-06-0043	14.814	1.589	4
wheat	IN-06-0028	14.543	1.556	4
wheat	IN-06-0007	14.689	1.574	4
wheat	IN-06-0034	14.718	1.559	4
wheat	IN-06-1061	13.963	1.622	4
wheat	IN-06-0012	14.56	1.559	4
wheat	IN-06-0026	13.542	1.497	5
wheat	IN-06-0010	14.819	1.59	4
wheat	IN-06-1062	13.612	1.549	4
wheat	IN-06-0017	13.053	1.619	5
wheat	IN-06-0038	14.529	1.551	4
wheat	IN-06-0041	14.518	1.544	4
wheat	IN-06-0029	14.529	1.562	4
wheat	IN-06-0018	12.894	1.622	5
wheat	IN-06-0013	14.441	1.56	4
wheat	IN-06-0020	12.926	1.631	5
wheat	IN-06-0037	14.551	1.556	4
wheat	IN-06-0011	14.545	1.553	4
wheat	IN-06-0021	13.096	1.65	4
wheat	IN-06-0042	14.56	1.559	4
wheat	IN-06-1063	14.156	1.526	4
wheat	IN-06-0023	13.613	1.568	5
wheat	IN-06-0019	12.512	1.608	4
wheat	IN-06-2007	10.946	1.533	4
wheat	IN-06-0015	12.971	1.618	5
wheat	IN-06-0030	14.56	1.559	4
wheat	IN-06-1064	13.537	1.661	4
wheat	IN-06-0039	14.494	1.545	4
wheat	IN-06-0035	14.526	1.553	4
wheat	IN-12-0194	11.551	1.547	5
wheat	IN-12-1028	15.569	1.495	5
wheat	IN-12-2026	15.569	1.495	5
wheat	IN-12-1040	14.527	1.551	5
wheat	IN-01-0052	13.38	1.604	4
wheat	IN-08-0719	13.025	1.457	4
wheat	IN-12-1031	14.509	1.483	5
wheat	IN-12-0224	15.569	1.495	5
wheat	IN-12-0200	14.052	1.574	5
wheat	IN-12-0233	15.595	1.492	5
wheat	IN-08-0702	12.482	1.472	5
wheat	IN-12-0220	16.002	1.482	5
wheat	IN-12-1034	15.608	1.487	5
wheat	IN-12-0215	12.849	1.617	5
wheat	IN-12-0236	15.569	1.495	5
wheat	IN-08-0729	11.942	1.509	4
wheat	IN-12-0199	14.521	1.493	5
wheat	IN-14-0002	10.745	1.573	4
wheat	IN-12-0223	15.569	1.495	5
wheat	IN-12-1044	13.935	1.517	4
wheat	IN-08-0714	10.068	1.432	4
wheat	IN-12-0205	13.295	1.506	6
wheat	IN-14-0004	10.735	1.574	4
wheat	IN-12-0192	11.755	1.544	5
wheat	IN-12-1036	13.823	1.512	4
wheat	IN-12-1037	12.935	1.611	5
wheat	IN-01-0054	13.88	1.498	5
wheat	IN-01-0053	13.346	1.522	5
wheat	IN-08-0703	9.927	1.434	4
wheat	IN-08-0730	12.657	1.398	4
wheat	IN-12-0222	15.254	1.491	5
wheat	IN-14-1056	10.735	1.574	4
wheat	IN-12-0231	15.569	1.495	5
wheat	IN-14-0001	10.71	1.591	4
wheat	IN-01-0046	14.23	1.532	4
wheat	IN-12-0198	12.211	1.55	5
wheat	IN-12-0209	14.419	1.495	5
wheat	IN-08-0720	13.129	1.34	4
wheat	IN-12-1038	11.267	1.552	5
wheat	IN-12-0219	15.499	1.494	5
wheat	IN-12-0232	15.569	1.495	5
wheat	IN-12-0221	15.406	1.493	5
wheat	IN-01-0049	15.192	1.542	4
wheat	IN-12-0214	12.823	1.618	5
wheat	IN-12-0229	15.179	1.49	5
wheat	IN-19-0654	9.043	1.368	4
wheat	IN-08-0716	12.508	1.406	4
wheat	IN-12-0213	12.902	1.606	5
wheat	IN-14-1066	11.838	1.548	5
wheat	IN-12-0218	14.859	1.505	5
wheat	IN-12-0211	12.818	1.62	5
wheat	IN-12-1041	14.58	1.482	5
wheat	IN-12-0547	14.534	1.486	5
wheat	IN-12-0548	14.491	1.488	5
wheat	IN-12-2013	14.357	1.557	5
wheat	IN-12-1042	13.982	1.529	5
wheat	IN-08-0707	12.963	1.361	5
wheat	IN-12-0230	15.601	1.492	5
wheat	IN-08-0725	11.456	1.446	4
wheat	IN-19-0659	12.696	1.424	6
wheat	IN-14-2039	10.736	1.574	4
wheat	IN-14-1067	10.868	1.562	4
wheat	IN-14-1065	11.174	1.588	4
wheat	IN-19-0655	13.897	1.363	4
wheat	IN-19-0656	13.544	1.372	5
wheat	IN-01-0048	13.875	1.403	5
wheat	IN-01-0051	15.396	1.594	4
wheat	IN-12-1029	15.515	1.486	5
wheat	IN-12-0212	12.876	1.626	5
wheat	IN-12-0225	15.569	1.495	5
wheat	IN-12-0533	12.89	1.615	5
wheat	IN-12-0197	13.988	1.499	5
wheat	IN-19-0657	12.825	1.416	6
wheat	IN-08-0722	12.567	1.422	4
wheat	IN-12-0195	12.326	1.528	5
wheat	IN-12-0530	15.565	1.495	5
wheat	IN-12-0191	12.216	1.537	5
wheat	IN-12-0217	13.282	1.515	4
wheat	IN-14-2040	10.736	1.574	4
wheat	IN-12-0190	15.075	1.49	4
wheat	IN-08-0723	10.969	1.56	4
wheat	IN-01-0050	12.815	1.437	5
wheat	IN-19-0663	13.499	1.385	5
wheat	IN-12-0203	15.137	1.489	5
wheat	IN-01-0504	14.049	1.467	5
wheat	IN-12-0235	14.877	1.501	5
wheat	IN-08-0711	10.864	1.451	4
wheat	IN-12-0227	15.254	1.491	5
wheat	IN-14-0005	11.894	1.504	4
wheat	IN-14-0003	10.71	1.592	4
wheat	IN-08-0712	11.497	1.504	4
wheat	IN-12-2031	14.157	1.575	5
wheat	IN-12-1045	15.511	1.495	5
wheat	IN-12-0532	15.626	1.488	5
wheat	IN-12-0529	13.354	1.512	4
wheat	IN-01-0044	13.279	1.374	5
wheat	IN-08-0732	12.508	1.529	4
wheat	IN-14-2041	11.8	1.512	4
wheat	IN-12-0234	15.569	1.495	5
wheat	IN-08-0713	10.835	1.565	4
wheat	IN-14-0006	11.258	1.547	4
wheat	IN-19-0661	12.521	1.432	6
wheat	IN-12-0226	14.968	1.487	5
wheat	IN-12-0216	13.935	1.517	4
wheat	IN-01-0045	12.565	1.385	4
wheat	IN-01-0503	13.127	1.346	4
wheat	IN-19-0664	10.898	1.349	5
wheat	IN-01-0047	14.203	1.506	4
wheat	IN-08-0728	12.881	1.529	4
wheat	IN-12-0210	13.993	1.52	4
wheat	IN-09-0166	11.756	1.474	5
wheat	IN-09-0174	15.5	1.446	6
wheat	IN-09-0173	15.332	1.448	6
wheat	IN-09-0172	12.621	1.468	5
wheat	IN-13-0810	13.717	1.447	4
wheat	IN-09-0168	11.749	1.543	5
wheat	IN-12-0531	15.695	1.483	5
wheat	IN-09-1019	11.518	1.472	5
wheat	IN-13-0803	16.821	1.421	2
wheat	IN-09-1017	11.983	1.539	5
wheat	IN-13-0802	14.334	1.375	2
wheat	IN-13-0824	12.374	1.512	5
wheat	IN-13-0817	9.444	1.424	4
wheat	IN-13-0801	16.524	1.139	3
wheat	IN-17-2018	13.891	1.524	5
wheat	IN-17-0615	13.195	1.492	5
wheat	IN-17-0622	11.553	1.416	4
wheat	IN-17-1047	13.836	1.522	5
wheat	IN-17-0601	22.653	1.219	2
wheat	IN-17-0610	11.451	1.412	4
wheat	IN-17-2019	11.722	1.424	4
wheat	IN-17-0602	11.451	1.412	4
wheat	IN-17-1048	12.043	1.439	4
wheat	IN-17-0616	12.562	1.419	4
wheat	IN-17-0603	13.303	1.433	5
wheat	IN-17-0604	13.064	1.402	4
wheat	IN-17-0617	12.814	1.412	5
wheat	IN-17-1049	22.593	1.22	2
wheat	IN-17-0609	13.375	1.432	5
wheat	IN-17-0618	12.407	1.423	4
wheat	IN-17-2028	13.469	1.435	5
wheat	IN-17-0605	12.458	1.42	4
wheat	IN-17-0606	11.686	1.372	5
wheat	IN-17-0619	22.808	1.217	2
wheat	IN-17-0620	13.078	1.487	5
wheat	IN-17-0607	13.69	1.515	5
wheat	IN-17-1050	13.131	1.425	5
wheat	IN-17-0621	11.451	1.412	4
wheat	IN-17-1051	13.469	1.435	5
wheat	IN-17-2017	11.701	1.425	4
wheat	IN-17-0608	11.73	1.387	5
wheat	IN-03-2056	14.472	1.54	4
wheat	IN-03-1001	13.887	1.517	4
wheat	IN-03-2053	14.512	1.536	4
wheat	IN-03-0129	15.312	1.552	4
wheat	IN-03-0132	14.306	1.486	6
wheat	IN-03-0126	15.371	1.537	4
wheat	IN-03-1004	13.42	1.408	5
wheat	IN-03-0127	13.78	1.418	5
wheat	IN-12-0196	13.434	1.503	5
wheat	IN-19-0651	16.656	1.269	4
wheat	IN-16-0238	13.621	1.368	5
wheat	IN-03-2050	14.374	1.567	4
wheat	IN-05-1010	15.143	1.599	4
wheat	IN-16-1032	13.621	1.368	5
wheat	IN-12-1033	11.267	1.552	5
wheat	IN-08-0701	10.541	1.478	4
wheat	IN-05-0073	15.057	1.613	4
wheat	IN-14-2034	10.732	1.576	4
wheat	IN-14-2036	10.797	1.573	4
wheat	IN-03-0123	12.862	1.466	6
wheat	IN-05-0075	14.109	1.573	4
wheat	IN-14-2037	10.729	1.578	4
wheat	IN-05-0077	14.329	1.554	4
wheat	IN-14-2014	14.081	1.366	5
wheat	IN-18-0626	13.139	1.554	5
wheat	IN-15-0953	10.86	1.398	4
wheat	IN-18-0627	14.447	1.502	5
wheat	IN-15-0952	10.421	1.467	4
wheat	IN-03-2052	15.118	1.551	4
wheat	IN-05-2005	13.713	1.443	5
wheat	IN-05-0072	13.547	1.609	4
wheat	IN-03-1002	14.277	1.507	4
wheat	IN-05-0080	13.52	1.373	5
wheat	IN-03-0128	13.236	1.332	5
wheat	IN-14-1055	11.907	1.505	4
wheat	IN-05-1012	13.608	1.482	5
wheat	IN-15-0914	14.041	1.292	5
wheat	IN-15-0940	12.471	1.412	5
wheat	IN-05-0074	13.144	1.599	4
wheat	IN-15-0910	12.385	1.421	5
wheat	IN-19-0653	13.809	1.371	5
wheat	IN-12-0207	14.424	1.485	5
wheat	IN-05-1013	13.144	1.619	4
wheat	IN-08-0705	12.034	1.372	4
wheat	IN-15-0954	13.811	1.507	5
wheat	IN-14-2038	11.224	1.545	4
wheat	IN-03-2054	15.592	1.458	4
wheat	IN-15-0933	12.769	1.424	5
wheat	IN-15-0937	14.394	1.507	5
wheat	IN-15-0942	12.218	1.45	5
wheat	IN-18-0628	12.622	1.512	6
wheat	IN-12-2033	12.23	1.536	5
wheat	IN-16-0527	15.623	1.479	4
wheat	IN-05-0069	12.864	1.356	5
wheat	IN-12-1039	11.267	1.552	5
wheat	IN-05-1014	13.571	1.592	4
wheat	IN-15-0913	11.328	1.45	4
wheat	IN-08-0717	9.964	1.447	4
wheat	IN-15-0962	12.594	1.417	5
wheat	IN-08-0731	10.736	1.574	4
wheat	IN-14-1068	10.77	1.572	4
wheat	IN-05-0079	14.706	1.557	4
wheat	IN-08-0710	13.112	1.346	4
wheat	IN-18-0629	14.144	1.527	5
wheat	IN-14-1070	10.99	1.56	4
wheat	IN-19-0662	12.778	1.418	6
wheat	IN-08-0718	9.816	1.434	4
wheat	IN-15-2023	12.324	1.413	5
wheat	IN-05-0082	12.257	1.335	5
wheat	IN-15-0955	12.729	1.434	4
wheat	IN-05-0065	13.708	1.463	5
wheat	IN-05-1015	13.605	1.579	5
wheat	IN-08-0708	12.913	1.386	4
wheat	IN-18-0631	13.621	1.368	5
wheat	IN-15-0963	11.105	1.559	4
wheat	IN-15-0941	12.238	1.45	5
wheat	IN-14-1069	13.498	1.411	5
wheat	IN-03-2055	14.789	1.542	4
wheat	IN-05-0068	13.725	1.466	5
wheat	IN-18-0634	14.339	1.508	5
wheat	IN-16-0237	13.875	1.525	5
wheat	IN-03-1003	14.73	1.55	4
wheat	IN-08-0726	11.077	1.399	4
wheat	IN-15-0957	11.626	1.559	4
wheat	IN-15-0915	13.565	1.485	5
wheat	IN-15-0944	13.196	1.363	5
wheat	IN-16-0243	14.047	1.517	5
wheat	IN-15-0943	10.219	1.488	4
wheat	IN-14-0501	10.82	1.583	4
wheat	IN-15-2024	11.024	1.43	5
wheat	IN-05-2004	13.789	1.4	5
wheat	IN-12-0204	14.537	1.487	5
wheat	IN-15-0916	12.309	1.414	5
wheat	IN-08-0724	13.136	1.34	4
wheat	IN-16-1043	15.499	1.076	4
wheat	IN-12-0189	12.639	1.529	5
wheat	IN-15-0938	16.24	1.456	4
wheat	IN-15-0964	12.438	1.411	5
wheat	IN-12-2032	11.267	1.552	5
wheat	IN-18-0635	13.621	1.368	5
wheat	IN-05-0070	10.928	1.349	5
wheat	IN-12-1046	15.557	1.494	5
wheat	IN-15-0965	10.909	1.556	4
wheat	IN-18-0636	14.856	1.517	5
wheat	IN-12-0228	15.569	1.495	5
wheat	IN-18-0633	13.271	1.592	5
wheat	IN-03-2001	14.333	1.499	4
wheat	IN-16-0242	13.649	1.374	5
wheat	IN-16-1030	13.471	1.498	6
wheat	IN-05-1016	13.589	1.374	5
wheat	IN-18-0637	13.253	1.593	5
wheat	IN-05-0081	10.369	1.409	6
wheat	IN-03-0125	14.392	1.538	5
wheat	IN-05-0076	15.729	1.599	4
wheat	IN-05-2025	15.41	1.581	4
wheat	IN-03-0122	15.815	1.57	4
wheat	IN-03-1006	15.417	1.527	4
wheat	IN-03-0135	15.815	1.572	4
wheat	IN-03-0138	15.116	1.546	4
wheat	IN-03-2051	15.883	1.581	4
wheat	IN-03-0131	14.163	1.526	5
wheat	IN-03-0133	13.1	1.505	5
wheat	IN-03-0518	13.282	1.508	5
wheat	IN-03-1005	13.21	1.49	5
wheat	IN-20-0063	14.132	1.468	5
wheat	IN-04-0183	14.43	1.495	4
wheat	IN-02-0945	16.783	1.412	5
wheat	IN-02-0961	15.137	1.497	5
wheat	IN-02-0949	14.294	1.525	5
wheat	IN-13-0807	10.436	1.422	4
wheat	IN-13-0805	13.472	1.438	5
wheat	IN-09-2010	11.648	1.471	5
wheat	IN-02-0931	15.418	1.486	5
wheat	IN-02-0948	12.44	1.497	4
wheat	IN-02-0909	16.108	1.471	4
wheat	IN-04-0179	11.707	1.442	6
wheat	IN-02-0921	15.977	1.478	4
wheat	IN-02-0947	15.168	1.5	5
wheat	IN-16-0240	13.621	1.368	5
wheat	IN-13-0820	12.922	1.426	5
wheat	IN-02-0903	16.037	1.471	5
wheat	IN-09-0546	11.267	1.552	5
wheat	IN-09-2043	15.673	1.449	6
wheat	IN-02-0912	13.954	1.507	5
wheat	IN-02-0924	15.36	1.483	5
wheat	IN-09-0165	12.318	1.474	5
wheat	IN-04-0180	14.619	1.469	6
wheat	IN-04-0177	15.526	1.445	6
wheat	IN-09-0169	15.574	1.481	4
wheat	IN-20-0055	13.792	1.397	5
wheat	IN-04-1008	14.666	1.447	6
wheat	IN-04-0181	12.972	1.463	5
wheat	IN-04-0524	11.163	1.474	5
wheat	IN-20-0062	13.83	1.404	5
wheat	IN-04-0184	11.206	1.506	5
wheat	IN-02-0932	16.793	1.432	5
wheat	IN-02-0936	15.591	1.479	5
wheat	IN-20-2107	13.707	1.483	5
wheat	IN-02-0946	16.611	1.39	5
wheat	IN-13-0816	19.205	1.371	2
wheat	IN-04-0185	11.419	1.506	5
wheat	IN-02-0956	15.949	1.475	4
wheat	IN-09-0171	11.223	1.519	5
wheat	IN-02-0935	16.818	1.42	5
wheat	IN-02-0929	16.142	1.467	5
wheat	IN-20-0058	15.293	1.545	4
wheat	IN-04-0182	10.326	1.449	6
wheat	IN-13-0814	16.983	1.44	4
wheat	IN-09-0545	15.65	1.445	6
wheat	IN-20-2112	13.797	1.397	5
wheat	IN-04-2002	11.33	1.539	5
wheat	IN-09-1018	15.697	1.445	6
wheat	IN-02-0908	15.952	1.475	4
wheat	IN-02-0902	15.556	1.474	5
wheat	IN-02-0918	14.511	1.515	5
wheat	IN-20-0059	13.877	1.403	5
wheat	IN-02-0919	14.469	1.507	5
wheat	IN-20-0056	14.722	1.572	4
wheat	IN-04-2003	11.535	1.543	5
wheat	IN-04-1009	15.327	1.487	4
wheat	IN-04-0525	11.211	1.509	5
wheat	IN-02-0926	15.781	1.457	5
wheat	IN-09-2030	15.68	1.473	4
wheat	IN-09-0176	11.387	1.501	5
wheat	IN-02-0907	16.024	1.479	4
wheat	IN-16-0239	13.621	1.368	5
wheat	IN-20-0520	13.798	1.398	5
wheat	IN-04-0526	13.445	1.451	6
wheat	IN-04-0186	14.289	1.454	6
wheat	IN-02-0922	14.716	1.504	5
wheat	IN-02-0904	16.678	1.428	5
wheat	IN-02-0930	15.391	1.478	5
wheat	IN-02-0906	15.902	1.467	5
wheat	IN-09-2011	15.363	1.484	4
wheat	IN-02-0958	14.504	1.511	5
wheat	IN-02-0960	16.116	1.464	5
wheat	IN-04-0178	15.697	1.445	6
wheat	IN-02-0928	16.221	1.412	5
wheat	IN-02-0923	15.391	1.483	5
wheat	IN-04-0187	11.194	1.491	5
wheat	IN-02-0951	16.788	1.422	5
wheat	IN-09-2009	11.163	1.474	5
wheat	IN-13-0819	16.476	1.421	5
wheat	IN-16-0241	14.035	1.304	5
wheat	IN-02-0927	15.919	1.469	5
wheat	IN-04-0523	14.901	1.492	4
wheat	IN-04-2057	11.515	1.442	6
wheat	IN-13-2063	12.838	1.417	5
wheat	IN-20-2108	16.639	1.631	4
wheat	IN-20-2101	14.517	1.533	4
wheat	IN-20-2102	14.732	1.572	4
wheat	IN-20-2103	14.574	1.533	4
wheat	IN-20-2115	14.367	1.524	4
wheat	IN-20-2111	11.907	1.533	4
wheat	IN-20-2109	13.937	1.409	5
wheat	IN-20-2110	15.771	1.578	4
wheat	IN-20-2117	14.452	1.538	4
wheat	IN-20-2116	13.792	1.397	5
wheat	IN-20-2114	13.792	1.397	5
wheat	IN-20-2113	14.513	1.456	5
wheat	IN-20-0061	14.257	1.485	5
wheat	IN-20-2121	13.792	1.397	5
wheat	IN-20-2119	13.792	1.397	5
wheat	IN-20-2120	13.792	1.397	5
wheat	IN-20-0060	13.792	1.397	5
wheat	IN-20-2118	14.403	1.504	4
wheat	IN-20-2105	14.688	1.564	4
wheat	IN-20-2104	14.85	1.594	4
wheat	IN-20-2106	14.075	1.449	5
wheat	IN-20-0057	14.445	1.534	4
wheat	IN-11-0083	13.506	1.471	5
wheat	IN-11-0087	13.81	1.468	5
wheat	IN-11-0084	13.58	1.468	5
wheat	IN-11-0506	13.566	1.484	5
wheat	IN-11-0509	12.713	1.367	5
wheat	IN-11-0507	13.793	1.398	5
wheat	IN-11-0543	13.313	1.477	5
wheat	IN-11-0094	12.996	1.41	5
wheat	IN-11-0090	13.664	1.522	5
wheat	IN-11-0093	11.886	1.331	4
wheat	IN-11-0542	13.634	1.398	4
wheat	IN-11-1023	13.761	1.451	5
wheat	IN-11-0508	11.819	1.454	5
wheat	IN-11-0085	13.774	1.466	5
wheat	IN-11-0086	13.523	1.476	5
wheat	IN-11-0512	13.299	1.457	5
wheat	IN-11-1025	13.759	1.397	5
wheat	IN-11-0092	12.888	1.566	5
wheat	IN-11-0088	13.768	1.449	4
wheat	IN-11-0521	13.885	1.436	5
wheat	IN-11-0513	12.666	1.548	6
wheat	IN-11-0510	13.445	1.58	4
wheat	IN-11-1080	14.023	1.5	5
wheat	IN-03-0121	14.037	1.521	5
wheat	IN-10-0139	12.996	1.508	5
wheat	IN-10-0140	13.381	1.487	5
wheat	IN-14-2035	10.723	1.59	4
wheat	IN-10-0141	14.812	1.605	4
wheat	IN-10-0536	14.479	1.551	4
wheat	IN-10-0142	11.188	1.445	6
wheat	IN-10-0143	12.505	1.521	5
wheat	IN-10-0144	13.263	1.527	5
wheat	IN-10-0145	9.73	1.441	6
wheat	IN-05-1011	13.598	1.467	5
wheat	IN-10-0147	13.182	1.535	5
wheat	IN-10-0537	13.35	1.529	5
wheat	IN-08-0704	10.759	1.571	4
wheat	IN-10-0519	13.526	1.499	5
wheat	IN-12-0206	14.226	1.544	5
wheat	IN-12-0528	13.069	1.514	5
wheat	IN-10-0539	13.07	1.445	6
wheat	IN-10-0151	12.73	1.493	5
wheat	IN-10-0152	10.486	1.447	6
wheat	IN-10-0153	12.859	1.448	6
wheat	IN-14-1059	10.736	1.574	4
wheat	IN-10-0156	10.488	1.443	6
wheat	IN-08-0706	13.342	1.419	5
wheat	IN-10-1020	13.551	1.465	5
wheat	IN-10-0150	12.277	1.446	6
wheat	IN-10-0157	14.54	1.558	4
wheat	IN-10-0158	12.097	1.449	6
wheat	IN-14-2015	13.801	1.41	4
wheat	IN-19-0658	11.162	1.356	5
wheat	IN-10-0159	14.302	1.453	6
wheat	IN-03-0134	15.05	1.556	4
wheat	IN-10-2012	13.954	1.592	4
wheat	IN-10-0538	13.578	1.536	5
wheat	IN-03-0136	12.356	1.519	5
wheat	IN-10-0160	13.633	1.519	5
wheat	IN-12-0202	14.991	1.49	5
wheat	IN-10-0161	10.29	1.449	6
wheat	IN-10-0162	14.252	1.454	6
wheat	IN-10-0163	13.524	1.532	5
wheat	IN-10-0164	12.844	1.531	5
wheat	IN-07-0102	14.434	1.545	4
wheat	IN-07-0114	14.533	1.554	4
wheat	IN-07-0115	14.536	1.552	4
wheat	IN-02-0920	14.696	1.503	5
wheat	IN-07-0108	14.47	1.542	4
wheat	IN-07-0119	14.519	1.544	4
wheat	IN-07-0110	14.509	1.549	4
wheat	IN-07-0113	14.484	1.546	4
wheat	IN-07-0120	14.623	1.552	4
wheat	IN-07-0100	14.354	1.539	4
wheat	IN-04-0188	10.98	1.557	5
wheat	IN-04-1007	15.697	1.445	6
wheat	IN-07-0516	14.375	1.537	4
wheat	IN-07-1072	14.281	1.549	4
wheat	IN-07-1073	14.414	1.528	4
wheat	IN-02-0934	14.53	1.54	5
wheat	IN-07-0101	14.64	1.556	4
wheat	IN-07-0514	14.517	1.55	4
wheat	IN-07-0107	13.214	1.518	4
wheat	IN-13-0804	16.902	1.435	2
wheat	IN-07-0118	14.468	1.525	4
wheat	IN-07-0111	14.504	1.534	4
wheat	IN-07-1074	14.257	1.522	4
wheat	IN-07-0099	14.014	1.51	4
wheat	IN-07-2059	13.377	1.359	4
wheat	IN-07-0109	14.676	1.554	4
wheat	IN-07-0103	13.531	1.561	5
wheat	IN-07-0097	13.174	1.346	5
wheat	IN-07-0098	12.948	1.355	5
wheat	IN-07-0105	14.391	1.539	4
wheat	IN-07-0104	13.693	1.482	4
wheat	IN-07-0517	10.636	1.404	5
wheat	IN-07-0106	14.632	1.559	4
wheat	IN-07-1076	13.676	1.381	4
wheat	IN-07-0096	13.305	1.353	5
wheat	IN-07-0117	14.378	1.493	4
wheat	IN-07-1075	14.506	1.549	4
wheat	IN-07-0116	14.375	1.52	4
wheat	IN-13-2061	10.398	1.482	4
wheat	IN-11-0091	12.468	1.465	6
wheat	IN-12-0193	11.267	1.552	5
wheat	IN-10-0154	14.56	1.559	4
wheat	IN-12-0201	14.383	1.512	5
wheat	IN-07-0112	14.536	1.555	4
wheat	IN-19-0652	12.981	1.401	5
wheat	IN-08-0709	11.824	1.43	5
wheat	IN-14-2042	10.736	1.574	4
wheat	IN-19-0660	13.564	1.377	4
wheat	IN-13-0806	11.575	1.554	4
wheat	IN-09-0167	11.593	1.524	5
wheat	IN-09-0170	12.677	1.56	5
wheat	IN-09-0175	11.572	1.473	5
wheat	IN-03-0124	14.599	1.551	4
wheat	IN-03-0137	14.687	1.554	4
wheat	IN-05-0549	12.897	1.338	5
wheat	IN-05-0550	13.271	1.376	5
wheat	IN-05-0071	10.125	1.399	4
wheat	IN-16-0244	15.533	1.49	4
wheat	IN-03-0130	15.82	1.52	4
wheat	IN-05-0067	13.626	1.45	5
wheat	IN-08-0721	12.832	1.45	5
wheat	IN-05-0078	15.647	1.61	4
wheat	IN-05-0066	13.701	1.469	5
wheat	IN-02-0950	14.218	1.499	5
wheat	IN-02-0925	15.821	1.448	5
wheat	IN-02-0905	16.715	1.422	5
wheat	IN-11-1077	13.755	1.441	4
wheat	IN-11-1022	13.761	1.397	5
wheat	IN-11-1024	13.795	1.499	5
wheat	IN-11-0089	13.398	1.431	4
wheat	IN-11-1026	13.649	1.398	4
wheat	IN-11-2020	13.669	1.4	5
wheat	IN-11-1027	13.856	1.486	5
wheat	IN-10-0146	14.109	1.528	4
wheat	IN-10-0148	9.619	1.441	6
wheat	IN-10-0149	13.554	1.56	5
wheat	IN-10-0155	9.809	1.442	6
wheat	IN-07-0515	14.538	1.555	4
